"Custom Messages","Custom Messages"
Back,Back
"Delete Item","Delete Item"
"Are you sure you want to do this?","Are you sure you want to do this?"
Reset,Reset
"Save and Continue Edit","Save and Continue Edit"
"Save Item","Save Item"
Conditions,Conditions
"Conditions (don't add conditions if rule is applied to all products)","Conditions (don't add conditions if rule is applied to all products)"
Quickview,Quickview
"You deleted the custom message.","You deleted the custom message."
"We can't find the item to delete.","We can't find the item to delete."
"This custom message no longer exists.","This custom message no longer exists."
"Edit Custom Message","Edit Custom Message"
"New Custom Message","New Custom Message"
"Add Custom Message","Add Custom Message"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"You saved the custom message.","You saved the custom message."
"Something went wrong while saving the custom message.","Something went wrong while saving the custom message."
Hover,Hover
Click,Click
"Default ( Quickview dispalyed in the center of the page )","Default ( Quickview dispalyed in the center of the page )"
"Right Side ( Quickview Slides in the right side of the page )","Right Side ( Quickview Slides in the right side of the page )"
"Left Side ( Quickview Slides in the left side of the page )","Left Side ( Quickview Slides in the left side of the page )"
True,True
False,False
Active,Active
Inactive,Inactive
"All Store Views","All Store Views"
"Make sure the To Date is later than or the same as the From Date.","Make sure the To Date is later than or the same as the From Date."
Edit,Edit
Delete,Delete
"Delete ""${ $.$data.title }""","Delete ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Are you sure you wan't to delete a ""${ $.$data.title }"" record?"
"Continue Shopping","Continue Shopping"
"Go To Checkout","Go To Checkout"
"Go To Product","Go To Product"
"Add to Cart","Add to Cart"
Qty,Qty
"Quick View and Ajax Cart Pro","Quick View and Ajax Cart Pro"
"Quick View and Ajax Cart General Settings","Quick View and Ajax Cart General Settings"
"Enable on product listing","Enable on product listing"
"Enable on mobile view","Enable on mobile view"
"Quickview Type","Quickview Type"
"Close on Background Click","Close on Background Click"
"Remove product image","Remove product image"
"Remove product image thumb","Remove product image thumb"
"Remove short description","Remove short description"
"Remove qty selector","Remove qty selector"
"Enable go to product button","Enable go to product button"
"Remove availability","Remove availability"
"Remove sku","Remove sku"
"Remove Estimated Arrival","Remove Estimated Arrival"
"Button Style","Button Style"
"Close quickview in X seconds after adding product to cart","Close quickview in X seconds after adding product to cart"
"Auto scroll to top and open Quickcart","Auto scroll to top and open Quickcart"
"Enable continue shopping/go to checkout buttons","Enable continue shopping/go to checkout buttons"
"Custom CSS","Custom CSS"
"Enable zoom","Enable zoom"
"Top position of magnifier","Top position of magnifier"
"Left position of magnifier","Left position of magnifier"
"Width of magnifier block","Width of magnifier block"
"Height of magnifier block","Height of magnifier block"
"Action that activates zoom","Action that activates zoom"
"Loading Overlay Background Color","Loading Overlay Background Color"
"Set background color for Loading Overlay. Example: #0b0b0b","Set background color for Loading Overlay. Example: #0b0b0b"
"Loading Overlay Opacity","Loading Overlay Opacity"
"Set opacity for Loading Overlay. Use values between 0 and 1. Example: 0.8","Set opacity for Loading Overlay. Use values between 0 and 1. Example: 0.8"
"Loading Placeholder","Loading Placeholder"
"Enable to be able to choose your own placeholder for the loading period of the quickview. <br>
                                Below you can upload your own file.","Enable to be able to choose your own placeholder for the loading period of the quickview. <br>
                                Below you can upload your own file."
"Loading Icon","Loading Icon"
"Only 'jpg', 'jpeg', 'gif', 'png', 'svg' is allowed.","Only 'jpg', 'jpeg', 'gif', 'png', 'svg' is allowed."
"Custom Global Message","Custom Global Message"
"Enable Custom Global Message","Enable Custom Global Message"
"Insert Custom Global Message displayed above QuickView pop-up.","Insert Custom Global Message displayed above QuickView pop-up."
"Enable Dynamic Custom Message","Enable Dynamic Custom Message"
"Custom Custom Global","Custom Custom Global"
"Custom Custom Global Background Color","Custom Custom Global Background Color"
"Set background color for custom message. Example: #B05D5D","Set background color for custom message. Example: #B05D5D"
"Custom Custom Global Font Color","Custom Custom Global Font Color"
"Set font color for custom message. Example: #B2B2B2","Set font color for custom message. Example: #B2B2B2"
"Custom Custom Global Font Size","Custom Custom Global Font Size"
"Custom Css","Custom Css"
"Seo Settings","Seo Settings"
"Add no follow for the quickview link","Add no follow for the quickview link"
"Add no index","Add no index"
"Add canonical link","Add canonical link"
"WeltPixel Quickview Messages Rule Product","WeltPixel Quickview Messages Rule Product"
"Indexed quickview messages rule/product association","Indexed quickview messages rule/product association"
"WeltPixel Quickview Messages Product Rule","WeltPixel Quickview Messages Product Rule"
"Indexed quickview messages product/rule association","Indexed quickview messages product/rule association"
"WeltPixel - Quickview Hotspot","WeltPixel - Quickview Hotspot"
Product,Product
"Select Product...","Select Product..."
"Add no follow","Add no follow"
"Top position","Top position"
"Left position","Left position"
Color,Color
"Background Color","Background Color"
"Custom Message Information","Custom Message Information"
Title,Title
"Set current label title. Only for admin purposes, not displayed in frontend.","Set current label title. Only for admin purposes, not displayed in frontend."
Priority,Priority
"Use 0 for highest priority and bigger value for lowest priority.","Use 0 for highest priority and bigger value for lowest priority."
Status,Status
"Set current message status.","Set current message status."
"Valid From","Valid From"
"Valid To","Valid To"
"Store View","Store View"
"Customer Group","Customer Group"
Text,Text
"Insert text for message.","Insert text for message."
"Text Background Color","Text Background Color"
"Select color for message background.","Select color for message background."
"Text Font Color","Text Font Color"
"Select color for message font.","Select color for message font."
"Text Font Size","Text Font Size"
"Insert font size for label's text. e.g.: 12px","Insert font size for label's text. e.g.: 12px"
"Add New Custom Message","Add New Custom Message"
"Delete items","Delete items"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
Id,Id
"Custom Message","Custom Message"
